,City,Building,Furnace_id,num_Furnace_modules,PM_id,num_CHP_modules,oversize_ratio_electricity,oversize_ratio_heat
118,albuquerque,midrise_apartment,None,0,GT4,1,268.7313543102987,213.02105702596972
119,albuquerque,midrise_apartment,None,0,GT5,1,514.8513920244445,317.4253567812823
120,albuquerque,midrise_apartment,None,0,GT6,1,1019.7348633295379,549.3539825957866
121,albuquerque,midrise_apartment,None,0,MT1,3,2.1309094174384917,1.3338150887092752
122,albuquerque,midrise_apartment,None,0,MT2,2,3.077980269633377,1.7377373051157876
123,albuquerque,midrise_apartment,None,0,MT3,1,4.735354260974426,1.86774715618346
124,albuquerque,midrise_apartment,None,0,MT4,1,5.919192826218033,2.6629988750271987
125,albuquerque,midrise_apartment,None,0,MT5,1,7.88436484452242,3.197398987300263
126,albuquerque,midrise_apartment,None,0,MT6,1,23.676771304872133,9.3387357809173
127,albuquerque,midrise_apartment,None,0,FC1,183,3.03299440415412,1.247561712972742
128,albuquerque,midrise_apartment,None,0,FC2,339,12.03963820852748,1.246973171063096
129,albuquerque,midrise_apartment,None,0,FC3,1,7.10303139146164,1.5262560716573794
130,albuquerque,midrise_apartment,None,0,FC4,1,9.470708521948852,3.73549431236692
131,albuquerque,midrise_apartment,None,0,FC5,1,33.147479826820984,8.83721108157174
132,albuquerque,outpatient_healthcare,None,0,RE1,3,1.1725691987731979,1.5003501519850881
133,albuquerque,outpatient_healthcare,None,0,RE2,1,2.474121009411448,2.0699061519886577
134,albuquerque,outpatient_healthcare,None,0,RE3,1,4.38150023941585,3.2126036906044746
135,albuquerque,outpatient_healthcare,None,0,RE4,1,12.995975286402944,8.000687956694065
136,albuquerque,outpatient_healthcare,None,0,RE5,1,36.509896285801474,20.02110109956101
137,albuquerque,outpatient_healthcare,None,0,GT1,1,13.73860244562597,15.457486781356716
138,albuquerque,outpatient_healthcare,None,0,GT2,1,17.979394381189035,20.228858945729982
139,albuquerque,outpatient_healthcare,None,0,GT3,1,31.131712227428405,29.02213033279155
140,albuquerque,outpatient_healthcare,None,0,GT4,1,44.36220135358599,41.356080260788964
141,albuquerque,outpatient_healthcare,None,0,GT5,1,84.9917240910773,61.62521543706307
142,albuquerque,outpatient_healthcare,None,0,GT6,1,168.3379427398762,106.65202639120173
143,albuquerque,outpatient_healthcare,None,0,MT1,15,1.758853798159797,1.243869530803878
144,albuquerque,outpatient_healthcare,None,0,MT2,8,2.032453277873543,1.2964426656570267
145,albuquerque,outpatient_healthcare,None,0,MT3,4,3.126851196728528,1.3934367955428528
146,albuquerque,outpatient_healthcare,None,0,MT4,3,2.931422996932995,1.4900520421088124
147,albuquerque,outpatient_healthcare,None,0,MT5,3,3.9046554319147493,1.7890698096576345
148,albuquerque,outpatient_healthcare,None,0,MT6,1,3.9085639959106597,1.7417959944285661
149,albuquerque,outpatient_healthcare,None,0,FC1,978,2.6758029116004374,1.2435378322623303
150,albuquerque,outpatient_healthcare,None,0,FC2,1813,10.62933978687904,1.2438397017983436
151,albuquerque,outpatient_healthcare,None,0,FC3,5,5.86284599386599,1.4233332939546863
152,albuquerque,outpatient_healthcare,None,0,FC4,2,3.126851196728528,1.3934367955428528
153,albuquerque,outpatient_healthcare,None,0,FC5,1,5.471989594274924,1.648255098431476
154,albuquerque,primary_school,None,0,RE1,5,2.6192780275699143,1.474818459431791
155,albuquerque,primary_school,None,0,RE2,2,6.632011965807023,2.4416186833762312
156,albuquerque,primary_school,None,0,RE3,1,5.872421337811748,1.894760587509549
157,albuquerque,primary_school,None,0,RE4,1,17.41819888333993,4.718723401097093
158,albuquerque,primary_school,None,0,RE5,1,48.93335211106114,11.808239339616309
159,albuquerque,primary_school,None,0,GT1,1,18.413524533816496,9.116666590691036
