,electricity_demand,cooling_demand,heat_demand,total_electricity_demand,total_heat_demand,electricity_cooling,heat_cooling,electricity_CHP,electricity_PV,electricity_BES_in,electricity_BES_out,electricity_Grid,heat_Furnace,heat_CHP,fuel_CHP,PM_id,year
176,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
177,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
178,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
179,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
180,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
181,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
182,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
183,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
184,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
185,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
186,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
187,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
188,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
189,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
190,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
191,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
192,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
193,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
194,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
195,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
196,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
197,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
198,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
199,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
200,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
201,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
202,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
203,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
204,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
205,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
206,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
207,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
208,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
209,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
210,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
211,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
212,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
213,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
214,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
215,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
216,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,12497128.914389469,0,0,0,0.0,0,247306.62729157144,10097543.747695856,GT2,2050
217,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
218,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
219,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
220,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
221,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
222,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
223,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
224,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
225,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
226,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
227,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
228,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
229,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
230,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
231,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
232,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
233,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
234,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
235,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
236,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
237,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
238,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
239,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
240,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
241,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
242,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
243,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
244,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
245,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
246,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
247,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,21542276.850699995,0,0,0,0.0,0,247306.62729157144,15271642.931291705,GT3,2050
248,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
249,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
250,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
251,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
252,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
253,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
254,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
255,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
256,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
257,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
258,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
259,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
260,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,30602793.517366875,0,0,0,0.0,0,247306.62729157144,21527093.856760494,GT4,2050
