CT_id,manufacturer,model,capacity_ton,capacity_kW,fan_motor_hp,hp_per_fan,num_fan,total_fan_hp,total_fan_kW,airflow_cfm,airflow_kg_per_hour,water_flow_gpm,waterflow_kg_per_hour,LG_ratio
CT696,EVAPCO,AT 424-4I28,"1,434",6304,(4) 10,10,4,40,29.82804134,289800,553228.46,4302,977090.4897,1.76616093
CT697,EVAPCO,AT 424-4J28,"1,654",7271,(4) 15,15,4,60,44.74206201,329600,629206.69,4962,1126992.796,1.791132876
CT698,EVAPCO,AT 424-4K28,"1,833",8058,(4) 20,20,4,80,59.65608268,360700,688576.62,5499,1248958.764,1.813826847
CT699,EVAPCO,AT 424-4L28,"1,965",8638,(4) 25,25,4,100,74.57010335,386900,738592.45,5895,1338900.148,1.8127726
CT700,EVAPCO,AT 424-4M28,"2,088",9179,(4) 30,30,4,120,89.48412402,409600,781926.77,6264,1422709.165,1.819491577
CT701,EVAPCO,AT 424-4N28,"2,283",10036,(4) 40,40,4,160,119.3121654,447900,855041.5,6849,1555577.119,1.819300137
CT702,EVAPCO,AT 112-2J18,439,1930,15,15,1,15,11.1855155,110100,210181,1317,299123.2392,1.423169751
CT703,EVAPCO,AT 112-2K18,497,2185,20,20,1,20,14.91402067,120600,230225.51,1491,338642.9382,1.470918411
CT704,EVAPCO,AT 112-2L18,525,2308,25,25,1,25,18.64252584,129600,247406.52,1575,357721.4136,1.445885176
CT705,EVAPCO,AT 112-2M18,554,2435,30,30,1,30,22.37103101,137400,262296.72,1662,377481.2631,1.439138313
CT706,EVAPCO,AT 112-2N18,610,2682,40,40,1,40,29.82804134,150500,287304.63,1830,415638.2139,1.446681202
CT707,EVAPCO,AT 112-3J18,488,2145,15,15,1,15,11.1855155,108500,207126.6,1464,332510.5711,1.605349462
CT708,EVAPCO,AT 112-3K18,546,2400,20,20,1,20,14.91402067,118700,226598.41,1638,372030.2701,1.641804444
CT709,EVAPCO,AT 112-3L18,581,2554,25,25,1,25,18.64252584,127400,243206.71,1743,395878.3644,1.627744391
CT710,EVAPCO,AT 112-3M18,614,2699,30,30,1,30,22.37103101,134900,257524.22,1842,418363.7104,1.624560631
CT711,EVAPCO,AT 112-3N18,675,2967,40,40,1,40,29.82804134,147600,281768.53,2025,459927.5318,1.632288491
CT712,EVAPCO,AT 112-3O18,724,3183,50,50,1,50,37.28505168,158500,302576.64,2172,493314.8637,1.630379863
CT713,EVAPCO,AT 112-4J18,518,2277,15,15,1,15,11.1855155,106700,203690.4,1554,352951.7947,1.732785653
CT714,EVAPCO,AT 112-4K18,572,2515,20,20,1,20,14.91402067,116800,222971.3,1716,389745.9973,1.747964826
CT715,EVAPCO,AT 112-4L18,606,2664,25,25,1,25,18.64252584,125400,239388.71,1818,412912.7174,1.724862939
