,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
5041,100.0,17.8,100.7,0.93,1,145,84.61,0.07093
5042,100.0,18.3,100.7,0.9,1,145,84.61,0.07251
5043,100.0,18.3,100.7,0.9,1,145,84.61,0.07251
5044,100.0,18.3,100.7,0.9,1,145,84.61,0.07251
5045,100.0,18.3,100.7,0.93,1,145,84.61,0.07142
5046,100.0,19.0,100.8,0.88,1,145,84.61,0.07395
5047,100.0,20.0,100.8,0.84,1,145,84.61,0.07652
5048,100.0,21.1,100.8,0.78,1,145,84.61,0.08013
5049,100.0,22.8,100.8,0.71,1,145,84.61,0.08507
5050,100.0,24.4,100.8,0.67,1,145,84.61,0.08874
5051,100.0,23.3,100.7,0.71,1,145,84.61,0.08563
5052,100.0,23.3,100.7,0.71,1,145,84.61,0.08563
5053,100.0,22.8,100.7,0.73,1,145,84.61,0.08417
5054,100.0,22.2,100.6,0.76,1,145,84.61,0.0822
5055,100.0,21.7,100.6,0.76,1,145,84.61,0.08167
5056,100.0,20.6,100.6,0.81,1,145,84.61,0.07839
5057,100.0,20.0,100.6,0.84,1,145,84.61,0.07656
5058,100.0,18.9,100.6,0.9,1,145,84.61,0.07314
5059,100.0,18.3,100.7,0.9,1,145,84.61,0.07251
5060,100.0,18.9,100.8,0.87,1,145,84.61,0.07422
5061,100.0,19.4,100.8,0.84,1,145,84.61,0.07589
5062,100.0,18.9,100.8,0.9,1,145,84.61,0.0731
5063,100.0,18.9,100.7,0.9,1,145,84.61,0.07312
5064,100.0,19.4,100.7,0.87,1,145,84.61,0.07476
5065,100.0,19.4,100.7,0.87,1,145,84.61,0.07476
5066,100.0,19.4,100.8,0.84,1,145,84.61,0.07589
5067,100.0,18.9,100.8,0.87,1,145,84.61,0.07422
5068,100.0,19.4,100.9,0.87,1,145,84.61,0.07472
5069,100.0,19.4,100.9,0.87,1,145,84.61,0.07472
5070,100.0,20.0,101.0,0.84,1,145,84.61,0.07648
5071,100.0,20.6,101.0,0.81,1,145,84.61,0.07831
5072,100.0,21.1,101.1,0.78,1,145,84.61,0.08007
5073,100.0,23.3,101.0,0.69,1,145,84.61,0.08652
