,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,%_evap_mean,%_evap_std,reference_w4r_(L/MWhr_sqm),normalized_w4r_mean,normalized_w4r_std,percent_diff-mean,percent_diff-std
101,RFCW,5A,WaterCooledChiller,PoG,2.166571480777001,3.666544077955129,0.5758860212022132,0.024226461710401288,2.361038215051045,0.917635075521283,1.5529372013471878,58.79470719562195,8.538307880364812
102,RFCW,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,75.17652812395039,13.521048120140824
103,RFCW,6A,WaterCooledChiller,PoG,2.186050974505248,3.6981091929021535,0.5798777479897658,0.024815721565054197,2.361038215051045,0.9258854687610325,1.5663063686676506,60.33174590940517,8.845816433455246
104,RFCW,7,AbsorptionChiller,PoG,2.335047180622796,3.977058609140817,1.0,0.0,2.361038215051045,0.9889916926110887,1.6844532984633773,68.03546175653884,14.769571017606442
105,RFCW,7,WaterCooledChiller,PoG,2.1318692656511757,3.615371916331223,0.5658242220919325,0.02968000921405882,2.361038215051045,0.9029372129858074,1.531263616693752,55.29159963249432,9.73907764821621
106,RMPA,4A,AbsorptionChiller,PoG,2.410532579234114,4.082330774296664,1.0,0.0,2.361038215051045,1.0209629661508883,1.7290405332166152,144.20973147408404,17.68664878363507
107,RMPA,4A,WaterCooledChiller,PoG,1.926299845473076,3.25332357822753,0.6574489061628263,0.02130348355877895,2.361038215051045,0.8158698292951729,1.3779207627764696,96.72376378108319,11.769141654089427
108,RMPA,4B,AbsorptionChiller,PoG,2.973934426970701,5.079063800539203,1.0,0.0,2.361038215051045,1.2595875865170634,2.151199319079804,198.44419184041388,28.421960617039403
109,RMPA,4B,WaterCooledChiller,PoG,2.3880754721825066,4.072701693376765,0.7189244233821737,0.026271671146241217,2.361038215051045,1.011451427155692,1.724962208326101,140.7197784205655,20.65969957486076
110,RMPA,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,142.4168061323888,18.007973322129025
111,RMPA,5A,WaterCooledChiller,PoG,1.9129980066079757,3.2416183202595112,0.654573969845306,0.022628574151242017,2.361038215051045,0.8102359353665172,1.3729630886933477,95.13862092352623,11.92450247683776
112,RMPA,5B,AbsorptionChiller,PoG,2.9804643812043885,5.130335698165893,1.0,0.0,2.361038215051045,1.262353299580097,2.1729151461680076,195.4036518589662,32.70082450371434
113,RMPA,5B,WaterCooledChiller,PoG,2.3958967744606245,4.117717553817389,0.7156263817059153,0.03167389463840825,2.361038215051045,1.0147640809824106,1.744028337859142,138.6331461491447,23.93891733830339
114,RMPA,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,144.64952222001577,18.883340125141128
115,RMPA,6A,WaterCooledChiller,PoG,1.932477500336204,3.2731799704327873,0.6582560549422137,0.0231421791775507,2.361038215051045,0.8184863286062586,1.3863307885349165,97.28523149394502,12.353965381471388
116,RMPA,6B,AbsorptionChiller,PoG,2.838578323234512,4.899085441686528,1.0,0.0,2.361038215051045,1.2022585255669584,2.074970837174955,179.39876702159538,35.46059068342928
117,RMPA,6B,WaterCooledChiller,PoG,2.2917109439848065,3.945526464079504,0.700211913398353,0.03825155928626687,2.361038215051045,0.9706369551224145,1.6710980952903396,127.06228715732675,25.719277271638067
118,RMPA,7,AbsorptionChiller,PoG,2.335047180622796,3.977058609140817,1.0,0.0,2.361038215051045,0.9889916926110887,1.6844532984633773,134.67639115252211,20.627012828426288
119,RMPA,7,WaterCooledChiller,PoG,1.878295791482126,3.19045080475311,0.6451443044941589,0.0280309344071381,2.361038215051045,0.7955380728310311,1.3512914718680797,90.24622123514688,13.601483709126162
120,SPNO,3A,AbsorptionChiller,PoG,2.4531507236238825,4.146784738737044,1.0,0.0,2.361038215051045,1.0390135610620963,1.7563395256808207,53.22667540422201,9.507424507489345
121,SPNO,3A,WaterCooledChiller,PoG,2.359526913201346,3.9764346261763617,0.5479777800591978,0.02011837695893802,2.361038215051045,0.9993598994543735,1.6841890151661063,48.83030641831877,6.436058295704192
122,SPNO,4A,AbsorptionChiller,PoG,2.410532579234114,4.082330774296664,1.0,0.0,2.361038215051045,1.0209629661508883,1.7290405332166152,49.522668487386845,10.829031696509977
123,SPNO,4A,WaterCooledChiller,PoG,2.3311994251946184,3.9318408582865763,0.5404966802329795,0.023313767860604708,2.361038215051045,0.9873620047036039,1.6653016597622379,46.48562038293484,7.205910490560248
124,SPNO,4B,AbsorptionChiller,PoG,2.973934426970701,5.079063800539203,1.0,0.0,2.361038215051045,1.2595875865170634,2.151199319079804,82.72888508243562,17.401957610175504
125,SPNO,4B,WaterCooledChiller,PoG,2.7929750519040306,4.751143710558774,0.6106986693926897,0.030475141545560917,2.361038215051045,1.1829436025641147,2.0123112282856703,73.42312804077925,12.649346084354216
126,SPNO,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,48.4249113264797,11.025769566686536
