,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,percent_diff-mean,percent_diff-std
169,SRVC,3A,WaterCooledChiller,PoG,2.2245603866275165,3.6892768592672693,65.10518524229543,7.458707547342186
170,SRVC,4A,AirCooledChiller,PoG,1.3200434971032293,2.2121616402704576,0.0,0.0
171,SRVC,4A,WaterCooledChiller,PoG,2.1962328986207713,3.7056674761771733,62.34302718544601,8.48892492129113
172,SRVC,5A,AirCooledChiller,PoG,1.3200434971032293,2.2121616402704576,0.0,0.0
173,SRVC,5A,WaterCooledChiller,PoG,2.182931059755658,3.6939587927680253,61.19968478182638,8.600984610840067
174,AZNM,2B,AbsorptionChiller,LC,3.285868580236318,5.389346864400609,-89.53364044382366,0.6713779260622622
175,AZNM,2B,AirCooledChiller,LC,30.43858020112081,51.00972782561902,0.0,0.0
176,AZNM,2B,WaterCooledChiller,LC,22.901020543753866,38.41659021295127,-25.00707820482146,0.5106111285812474
177,AZNM,3B,AbsorptionChiller,LC,3.353057674382717,5.511134592819188,-89.40711323456723,0.8419146402079789
178,AZNM,3B,AirCooledChiller,LC,30.438580201120818,51.00972782561903,0.0,0.0
179,AZNM,3B,WaterCooledChiller,LC,22.96140016888181,38.526660039214,-24.875107445504693,0.6349630171954185
180,AZNM,4B,AbsorptionChiller,LC,3.048302241383375,5.042145480770284,-90.42023710242273,0.863743596730493
181,AZNM,4B,AirCooledChiller,LC,30.438580201120814,50.18024607652283,0.0,0.0
182,AZNM,4B,WaterCooledChiller,LC,22.71648831105025,37.51875591612823,-25.685175317812355,0.6357341420215821
