,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,w4e_int_factor_(L/kWhe),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,Cooling_HeatDemand_kWh,Total_annual_water_consumption_L,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
89,houston,secondary_school,9826665.830957824,19592.0,2A,SRSO,10.291,501.5652220782883,AirCooledChiller,2890195.8326346544,0,29743005.31364323,3.026764705882353,0.00015448982778084694
90,houston,small_hotel,672384.7755477133,4014.0,2A,SRSO,10.291,167.50990920471182,AirCooledChiller,197760.22810226862,0,2035150.5074004466,3.0267647058823535,0.0007540519944898739
91,houston,small_office,53903.80669190545,511.0,2A,SRSO,10.291,105.48690154971712,AirCooledChiller,15854.060791736896,0,163154.1396077644,3.026764705882353,0.005923218602509497
92,houston,stand_alone_retail,347604.700222829,2294.0,2A,SRSO,10.291,151.52776818780688,AirCooledChiller,102236.67653612618,0,1052117.6382332745,3.0267647058823526,0.0013194266372634493
93,houston,strip_mall,283609.45215008274,2090.0,2A,SRSO,10.291,135.6983024641544,AirCooledChiller,83414.54475002433,0,858419.0800225005,3.026764705882353,0.0014482127779341402
94,houston,supermarket,343831.0932244791,4181.0,2A,SRSO,10.291,82.23656857796678,AirCooledChiller,101126.7921248468,0,1040695.8177567985,3.026764705882353,0.0007239331992064944
95,houston,warehouse,83300.38506025884,4835.0,2A,SRSO,10.291,17.228621522287245,AirCooledChiller,24500.113253017305,0,252130.6654868011,3.026764705882353,0.0006260113145568465
96,houston,full_service_restaurant,234795.52030166617,569.52,2A,SRVC,30.881,412.26913945369114,AirCooledChiller,69057.50597107828,0,2132564.8418928683,9.082647058823529,0.015947898333374646
97,houston,hospital,18556071.28920018,22422.0,2A,SRVC,30.881,827.5832347337516,AirCooledChiller,5457668.026235347,0,168538246.31817374,9.082647058823529,0.0004050774711811403
98,houston,large_hotel,3829362.368251737,11345.0,2A,SRVC,30.881,337.537449823864,AirCooledChiller,1126283.049485805,0,34780746.85117114,9.082647058823529,0.0008005859020558422
99,houston,large_office,8672765.267591411,46320.0,2A,SRVC,30.881,187.23586501708573,AirCooledChiller,2550813.313997474,0,78771665.949556,9.082647058823529,0.00019608478106268414
100,houston,medium_office,729910.741203094,4982.0,2A,SRVC,30.881,146.50958273847732,AirCooledChiller,214679.6297656159,0,6629521.646791984,9.082647058823529,0.001823092544926441
101,houston,midrise_apartment,286310.58942129154,3135.0,2A,SRVC,30.881,91.32714176117753,AirCooledChiller,84208.99688861516,0,2600458.032917325,9.08264705882353,0.0028971760953185105
102,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,SRVC,30.881,486.356072288767,AirCooledChiller,544146.6173489616,0,16803791.690353286,9.08264705882353,0.0023876569555266905
103,houston,primary_school,978606.1960831732,6871.0,2A,SRVC,30.881,142.4255852253199,AirCooledChiller,287825.3517891686,0,8888334.688601315,9.082647058823529,0.001321881394094532
104,houston,quick_service_restaurant,96539.23317992152,232.0,2A,SRVC,30.881,416.1173843962134,AirCooledChiller,28393.892111741625,0,876831.7823026931,9.08264705882353,0.03914934077079108
105,houston,secondary_school,9826665.830957824,19592.0,2A,SRVC,30.881,501.5652220782883,AirCooledChiller,2890195.8326346544,0,89252137.50759076,9.082647058823529,0.00046358958038094776
106,houston,small_hotel,672384.7755477133,4014.0,2A,SRVC,30.881,167.50990920471182,AirCooledChiller,197760.22810226862,0,6107033.604026157,9.08264705882353,0.0022627421671209593
