,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,fuel_type,w4e_intensity (L/kWh),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
80,duluth,full_service_restaurant,17927.122408818872,569.52,7,MROW,US Overall,0.268,31.477599397420413,AirCooledChiller,5272.683061417315,1413.0790604598405,0.07882352941176471,0.0001384034439734596
81,duluth,hospital,10430594.566986348,22422.0,7,MROW,US Overall,0.268,465.19465556089324,AirCooledChiller,3067821.9314665734,822176.2776330417,0.07882352941176472,3.5154548841211633e-06
82,duluth,large_hotel,2448868.781736628,11345.0,7,MROW,US Overall,0.268,215.85445409754325,AirCooledChiller,720255.5240401848,193028.48044276953,0.07882352941176471,6.947865086977938e-06
83,duluth,large_office,2216462.574116501,46320.0,7,MROW,US Overall,0.268,47.85109184189337,AirCooledChiller,651900.7570930886,174709.40290094775,0.07882352941176472,1.7017169562125371e-06
84,duluth,medium_office,139421.06198419782,4982.0,7,MROW,US Overall,0.268,27.98495824652706,AirCooledChiller,41006.19470123466,10989.660179930888,0.07882352941176471,1.5821663872293198e-05
85,duluth,midrise_apartment,49032.53167539685,3135.0,7,MROW,US Overall,0.268,15.64036098098783,AirCooledChiller,14421.332845704957,3864.9172026489287,0.07882352941176471,2.5143071582700067e-05
86,duluth,outpatient_healthcare,7913.029846782806,3804.0,7,MROW,US Overall,0.268,2.0801866053582563,AirCooledChiller,2327.361719642002,623.7329408640566,0.07882352941176471,2.0721222242840356e-05
87,duluth,primary_school,122007.43036950276,6871.0,7,MROW,US Overall,0.268,17.75686659430982,AirCooledChiller,35884.5383439714,9617.056276184336,0.07882352941176471,1.1471915210561012e-05
88,duluth,quick_service_restaurant,7913.029846782806,232.0,7,MROW,US Overall,0.268,34.10788727061554,AirCooledChiller,2327.361719642002,623.7329408640566,0.07882352941176471,0.00033975659229208927
89,duluth,secondary_school,1750390.105499801,19592.0,7,MROW,US Overall,0.268,89.34208378418748,AirCooledChiller,514820.61926464736,137971.9259629255,0.07882352941176472,4.023250786635603e-06
