,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,w4e_intensity (L/kWh),chiller_type,CoolingDemand_intensity_kWh/sqm,fuel_type,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
1640,phoenix,quick_service_restaurant,119619.07263903387,0,22950.91273700931,348559.99969713436,232.0,2B,AZNM,0.685,WaterCooledChiller,24.74024253134103,Bituminous Coal,364281.3749219857,3.045345252100827,0.000629854240351774
1641,phoenix,secondary_school,11281158.855991058,0,2164478.3458361356,30769777.080895316,19592.0,2B,AZNM,0.685,WaterCooledChiller,2333.228305272194,Bituminous Coal,32252444.747793067,2.858965569008439,0.0005913062190296668
1642,phoenix,small_hotel,733770.7055353516,0,140786.13936871552,1939545.5623924623,4014.0,2B,AZNM,0.685,WaterCooledChiller,151.76229690493312,Bituminous Coal,2035984.0678600324,2.774687041198516,0.0005738752929055875
1643,phoenix,small_office,71996.84106732268,0,13813.793906116947,203446.47399778428,511.0,2B,AZNM,0.685,WaterCooledChiller,14.890763405857843,Bituminous Coal,212908.9228234744,2.957198116850542,0.0006116231885937005
1644,phoenix,stand_alone_retail,401983.2397528322,0,77127.18426724322,1178912.6180163347,2294.0,2B,AZNM,0.685,WaterCooledChiller,83.14027709469126,Bituminous Coal,1231744.7392393963,3.0641693917307604,0.0006337475474107053
1645,phoenix,strip_mall,314040.56571715436,0,60253.916542264444,927695.4148102602,2090.0,2B,AZNM,0.685,WaterCooledChiller,64.95151307490266,Bituminous Coal,968969.3476417114,3.0854910270236524,0.0006381573995912415
1646,phoenix,supermarket,476932.2068895614,0,91507.39276187676,1435644.9518045017,4181.0,2B,AZNM,0.685,WaterCooledChiller,98.64161466175003,Bituminous Coal,1498327.5158463873,3.1415943276679164,0.0006497609778010168
1647,phoenix,warehouse,157690.34950958707,0,30255.52172590617,480250.2720247431,4835.0,2B,AZNM,0.685,WaterCooledChiller,32.61434322845648,Bituminous Coal,500975.3044069888,3.17695601515888,0.0006570746670442358
1648,san_francisco,full_service_restaurant,11326.412683080798,0,2173.16104679377,21949.95042177473,569.52,3C,CAMX,0.685,WaterCooledChiller,2.342587938589617,Bituminous Coal,23438.565738828464,2.069372394830765,0.00042799842705910343
1649,san_francisco,hospital,13677543.281808356,0,2624264.6376696196,19145619.269591164,22422.0,3C,CAMX,0.685,WaterCooledChiller,2828.861071728719,Bituminous Coal,20943240.546394855,1.5312136189143082,0.00031669361301226643
1650,san_francisco,large_hotel,2900597.843419503,0,556528.0395574196,4163326.1711781756,11345.0,3C,CAMX,0.685,WaterCooledChiller,599.9168238716655,Bituminous Coal,4544547.878275008,1.566762482632704,0.0003240460150222759
1651,san_francisco,large_office,3282700.888418669,0,629840.877124598,5350406.5477976445,46320.0,3C,CAMX,0.685,WaterCooledChiller,678.9453750607381,Bituminous Coal,5781847.548627994,1.7613080646568458,0.0003642829502909712
1652,san_francisco,medium_office,170053.08318796114,0,32627.51822766341,287988.1402663367,4982.0,3C,CAMX,0.685,WaterCooledChiller,35.171268498027125,Bituminous Coal,310337.99025228614,1.8249477424015117,0.0003774452414480893
1653,san_francisco,midrise_apartment,68170.2860357162,0,13079.605547386096,111081.37861254442,3135.0,3C,CAMX,0.685,WaterCooledChiller,14.099335271089183,Bituminous Coal,120040.9084125039,1.7608978250378957,0.00036419810238632797
1654,san_francisco,outpatient_healthcare,935618.1339681877,0,179513.932637362,1383796.6062191455,3804.0,3C,CAMX,0.685,WaterCooledChiller,193.50943825608846,Bituminous Coal,1506763.6500757386,1.610447249119875,0.000333081127015486
1655,san_francisco,primary_school,185266.11317057564,0,35546.39158032773,319739.2912966819,6871.0,3C,CAMX,0.685,WaterCooledChiller,38.31770696392464,Bituminous Coal,344088.56952920643,1.8572666292858533,0.0003841296027478497
1656,san_francisco,quick_service_restaurant,3472.5962586700903,0,666.275468830169,7070.089536987616,232.0,3C,CAMX,0.685,WaterCooledChiller,0.7182205291975368,Bituminous Coal,7526.488233136282,2.1673951339274673,0.00044827200288055164
1657,san_francisco,secondary_school,2586770.5593144875,0,496315.0446471388,4403975.058649108,19592.0,3C,CAMX,0.685,WaterCooledChiller,535.0094228158196,Bituminous Coal,4743950.864232398,1.8339279636341532,0.00037930257779403374
1658,san_francisco,small_hotel,271737.0067503561,0,52137.273695168486,411087.4047051064,4014.0,3C,CAMX,0.685,WaterCooledChiller,56.20206964847076,Bituminous Coal,446801.4371862968,1.6442421388588113,0.000340070762949082
1659,san_francisco,small_office,7105.732828875942,0,1363.3532721003305,12544.900202481764,511.0,3C,CAMX,0.685,WaterCooledChiller,1.469644845682718,Bituminous Coal,13478.79719387049,1.896890513402923,0.00039232482179998407
1660,san_francisco,stand_alone_retail,12249.044525333578,0,2350.1833429273393,22129.770139166205,2294.0,3C,CAMX,0.685,WaterCooledChiller,2.533411484040037,Bituminous Coal,23739.64572907143,1.9380814299411593,0.0004008441426972408
1661,san_francisco,strip_mall,12205.814893220579,0,2341.8890175125875,22673.071185411056,2090.0,3C,CAMX,0.685,WaterCooledChiller,2.5244705053196648,Bituminous Coal,24277.265162407177,1.988991753093961,0.00041137368212905087
1662,san_francisco,supermarket,8628.03831147981,0,1655.4329506959266,17480.483771393734,4181.0,3C,CAMX,0.685,WaterCooledChiller,1.7844960313298468,Bituminous Coal,18614.455342620444,2.157437724616205,0.00044621255938287593
1663,san_francisco,warehouse,1529.0296860804071,0,293.36982910262714,3038.066317313721,4835.0,3C,CAMX,0.685,WaterCooledChiller,0.31624192059574086,Bituminous Coal,3239.0246502490204,2.1183530180843655,0.00043812885586026176
1664,seattle,full_service_restaurant,15625.237092130605,0,2997.9621567434474,31490.126484436143,569.52,4C,NWPP,0.685,WaterCooledChiller,3.2316932972348718,Bituminous Coal,33543.7305618054,2.1467661811480068,0.0004440054149220283
1665,seattle,hospital,13382720.384986538,0,2567697.9511994133,18146018.664871532,22422.0,4C,NWPP,0.685,WaterCooledChiller,2767.8842574946307,Bituminous Coal,19904891.76144313,1.487357666366064,0.0003076230954221435
1666,seattle,large_hotel,2635595.468856204,0,505682.91729121277,3707311.2292789877,11345.0,4C,NWPP,0.685,WaterCooledChiller,545.1076460922862,Bituminous Coal,4053704.0276234685,1.538060023066702,0.0003181096221440956
1667,seattle,large_office,2131356.6276067356,0,408936.2916168125,3750907.488283197,46320.0,4C,NWPP,0.685,WaterCooledChiller,440.81833042538483,Bituminous Coal,4031028.8480407135,1.8912972122206915,0.0003911679859815287
1668,seattle,medium_office,123303.73380321776,0,23657.876392377384,227794.25688853077,4982.0,4C,NWPP,0.685,WaterCooledChiller,25.502323433964378,Bituminous Coal,243999.90221730928,1.9788525026071984,0.00040927662928794177
1669,seattle,midrise_apartment,43240.359102575974,0,8296.38356648089,76479.60076698841,3135.0,4C,NWPP,0.685,WaterCooledChiller,8.943197332487275,Bituminous Coal,82162.62351002783,1.9001373997639424,0.0003929963598270822
1670,seattle,outpatient_healthcare,806348.7142857026,0,154711.43998095015,1188716.182513663,3804.0,4C,NWPP,0.685,WaterCooledChiller,166.77326045205845,Bituminous Coal,1294693.518900614,1.6056248319903477,0.0003320837294705993
1671,seattle,primary_school,101668.41028054242,0,19506.778985826764,192500.12318910268,6871.0,4C,NWPP,0.685,WaterCooledChiller,21.027592612314876,Bituminous Coal,205862.266794394,2.0248400287399053,0.0004187880100806423
1672,seattle,quick_service_restaurant,5063.349115665304,0,971.4879169923164,10500.353962363444,232.0,4C,NWPP,0.685,WaterCooledChiller,1.0472283589793805,Bituminous Coal,11165.82318550318,2.2052248285542198,0.00045609613827388205
1673,seattle,secondary_school,1407931.6389288323,0,270135.1504558124,2592000.2728457055,19592.0,4C,NWPP,0.685,WaterCooledChiller,291.19578881671816,Bituminous Coal,2777042.850907937,1.9724273353362083,0.00040794774257212166
1674,seattle,small_hotel,209813.83973616484,0,40256.28205071225,326157.75475597236,4014.0,4C,NWPP,0.685,WaterCooledChiller,43.394796222578044,Bituminous Coal,353733.30796071026,1.6859388704077873,0.00034869469915362717
1675,seattle,small_office,5982.7171709288405,0,1147.8840011955413,11388.922311761951,511.0,4C,NWPP,0.685,WaterCooledChiller,1.2373768709263373,Bituminous Coal,12175.222852580897,2.035065757703309,0.00042090294885280434
1676,seattle,stand_alone_retail,17188.440398590796,0,3297.888764476288,34559.90351851493,2294.0,4C,NWPP,0.685,WaterCooledChiller,3.5550031848171244,Bituminous Coal,36818.95732218119,2.1420766787660277,0.00044303550750072964
1677,seattle,strip_mall,17693.59298662469,0,3394.810707700392,35649.1219803496,2090.0,4C,NWPP,0.685,WaterCooledChiller,3.659481486375324,Bituminous Coal,37974.56731512437,2.146232669861395,0.0004438950713260383
1678,seattle,supermarket,14366.342170966967,0,2756.4221845361903,30080.680733428268,4181.0,4C,NWPP,0.685,WaterCooledChiller,2.971322062247563,Bituminous Coal,31968.82992983556,2.225258841073796,0.00046023967757472515
1679,seattle,warehouse,3078.085706382475,0,590.5820441979171,6655.979152619352,4835.0,4C,NWPP,0.685,WaterCooledChiller,0.6366257924265719,Bituminous Coal,7060.527852894926,2.293804827544202,0.00047441671717563633
1680,albuquerque,full_service_restaurant,81176.03759382581,0,15574.975746335389,212723.91680417783,569.52,4B,AZNM,1.49,WaterCooledChiller,16.789252863252493,Lignite Coal,235930.63066621756,2.9064073297926316,0.0006011183722425298
1681,albuquerque,hospital,11210146.841727791,0,2150853.5073661744,20820273.30024232,22422.0,4B,AZNM,1.49,WaterCooledChiller,2318.541228899233,Lignite Coal,24025045.02621792,2.143151679047498,0.000443257844684074
